                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.6426,                  4.421,                 3.2873,                      0,                      0,                      0,                      0,                 4.8407,                 4.0675,                 3.1479,              3.334e-05,              3.334e-05,              3.334e-05
                      2,                 4.2802,                 4.4928,                 3.3107,                      0,                      0,                      0,                      0,                 4.7195,                 4.0561,                 3.0023,             8.2525e-05,             8.2525e-05,             8.2525e-05
                      3,                  4.149,                 4.2582,                 3.2648,                      0,                      0,                      0,                      0,                 4.7015,                 4.0557,                 2.9177,             0.00013072,             0.00013072,             0.00013072
                      4,                 4.4265,                 4.4602,                 2.7445,                      0,                      0,                      0,                      0,                 4.7944,                 4.0595,                 2.9225,             0.00017792,             0.00017792,             0.00017792
                      5,                 3.9759,                 4.0555,                 2.3226,                      0,                      0,                      0,                      0,                 4.7411,                 4.0609,                 2.8081,             0.00022414,             0.00022414,             0.00022414
                      6,                 3.7821,                 3.5126,                 2.1341,                      0,                      0,                      0,                      0,                 4.6103,                 4.0656,                   2.65,             0.00026936,             0.00026936,             0.00026936
                      7,                 4.1121,                 3.3553,                 2.1159,                      0,                      0,                      0,                      0,                 4.6706,                 4.0576,                 2.5895,              0.0003136,              0.0003136,              0.0003136
                      8,                 3.8435,                 3.3336,                 1.8687,                      0,                      0,                      0,                      0,                 4.6858,                 4.0643,                 2.5675,             0.00035684,             0.00035684,             0.00035684
                      9,                 3.5819,                 3.2284,                 1.9133,                      0,                      0,                      0,                      0,                 4.6715,                 4.0887,                 2.5361,             0.00039909,             0.00039909,             0.00039909
                     10,                 3.5138,                 2.9262,                 1.6943,                      0,                      0,                      0,                      0,                 4.7239,                 4.0917,                  2.572,             0.00044036,             0.00044036,             0.00044036
                     11,                 3.3171,                 2.9181,                 1.6509,                      0,                      0,                      0,                      0,                 4.6879,                 4.1269,                 2.5486,             0.00048063,             0.00048063,             0.00048063
                     12,                 3.3287,                 2.8583,                 1.6891,                      0,                      0,                      0,                      0,                 4.6737,                 4.1411,                 2.5433,             0.00051991,             0.00051991,             0.00051991
                     13,                 3.1143,                 2.8079,                 1.5467,                      0,                      0,                      0,                      0,                 4.8149,                  4.192,                 2.6432,              0.0005582,              0.0005582,              0.0005582
                     14,                 2.8774,                 2.7721,                 1.4873,                      0,                      0,                      0,                      0,                  4.721,                  4.201,                 2.5788,             0.00059551,             0.00059551,             0.00059551
                     15,                 2.8899,                 2.5395,                 1.4088,                      0,                      0,                      0,                      0,                 4.7126,                 4.2331,                 2.5854,             0.00063182,             0.00063182,             0.00063182
                     16,                 2.7309,                  2.547,                 1.4482,                      0,                      0,                      0,                      0,                 4.7632,                 4.2606,                 2.6261,             0.00066714,             0.00066714,             0.00066714
                     17,                 2.8789,                 2.6217,                 1.7304,                      0,                      0,                      0,                      0,                 4.8568,                 4.2971,                 2.6948,             0.00070147,             0.00070147,             0.00070147
                     18,                 2.7527,                 2.4195,                 1.4731,                      0,                      0,                      0,                      0,                 4.8838,                 4.3245,                 2.7251,             0.00073482,             0.00073482,             0.00073482
                     19,                 2.5023,                 2.2448,                 1.3885,                      0,                      0,                      0,                      0,                 4.9169,                  4.399,                  2.764,             0.00076717,             0.00076717,             0.00076717
                     20,                  2.416,                 2.1412,                 1.3083,                      0,                      0,                      0,                      0,                 5.0315,                 4.4817,                 2.8851,             0.00079853,             0.00079853,             0.00079853
                     21,                 2.2753,                 2.1679,                 1.2945,                      0,                      0,                      0,                      0,                 5.0351,                 4.5597,                 2.9194,              0.0008289,              0.0008289,              0.0008289
                     22,                 2.3605,                 2.0874,                 1.2972,                      0,                      0,                      0,                      0,                 5.0667,                 4.4949,                 3.0045,             0.00085828,             0.00085828,             0.00085828
                     23,                 2.2612,                 2.1211,                  1.244,                      0,                      0,                      0,                      0,                 5.0718,                 4.4457,                 3.0271,             0.00088667,             0.00088667,             0.00088667
