                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3977,                 2.1364,                 3.2217,                 1.0681,                  0.285,                0.17063,                 0.2099,                0.15394,                0.29475,                 0.1746,                0.21547,                0.13401,                0.83426,                 1.2837,                  2.905,                0.93165,              3.334e-05,              3.334e-05,              3.334e-05
                      2,                 1.2332,                  1.805,                 3.1834,                 1.0275,                0.29566,                 0.1746,                0.21221,                0.15583,                0.30238,                0.17857,                0.22058,                0.13792,                0.84756,                 1.2792,                 2.8823,                0.93233,             8.2937e-05,             8.2937e-05,             8.2937e-05
                      3,                 1.2517,                 1.8075,                 3.0684,                 1.0416,                0.35785,                 0.4141,                0.27497,                0.22177,                0.35226,                0.40908,                0.27553,                0.15946,                0.68753,                  1.384,                  2.857,                 0.8942,             0.00013204,             0.00013204,             0.00013204
                      4,                 1.0531,                 1.3944,                 1.9799,                0.91299,                0.48739,                0.83029,                0.56548,                0.45823,                0.45971,                0.84015,                0.55474,                0.32741,                0.68902,                 1.1758,                 2.0565,                0.85302,             0.00018065,             0.00018065,             0.00018065
                      5,                0.83544,                 1.0592,                 1.3155,                0.86971,                0.50883,                0.81316,                0.55587,                0.43011,                0.48138,                0.82545,                 0.5547,                 0.3363,                0.74683,                 1.1842,                 2.0459,                 0.8667,             0.00022876,             0.00022876,             0.00022876
                      6,                0.85499,                 1.0488,                 1.0883,                0.87316,                0.48907,                 0.7676,                0.54622,                0.43672,                0.47344,                0.75173,                0.54195,                0.34967,                0.71003,                 1.2688,                 1.5679,                0.86595,             0.00027638,             0.00027638,             0.00027638
                      7,                0.98819,                 1.0955,                 1.0907,                0.88937,                0.42656,                0.54137,                0.43732,                0.34845,                0.42011,                0.51794,                 0.4274,                0.24358,                0.76573,                 1.2204,                  2.058,                0.87472,              0.0003235,              0.0003235,              0.0003235
                      8,                0.88076,                 1.0927,                 1.1906,                 0.8755,                0.34025,                0.70583,                0.47977,                0.35978,                0.33702,                0.70583,                0.48754,                0.26055,                 0.8073,                 1.2454,                 1.8744,                0.89153,             0.00037012,             0.00037012,             0.00037012
                      9,                 0.7827,                0.97785,                 1.0505,                0.86047,                0.52416,                0.78797,                0.59485,                0.47524,                  0.522,                0.80566,                0.60928,                0.36874,                0.75139,                 1.3998,                 1.8283,                  0.898,             0.00041626,             0.00041626,             0.00041626
                     10,                0.80398,                 1.0613,                 1.0969,                0.86518,                0.62666,                0.74551,                0.59683,                0.47099,                0.63681,                0.72946,                0.60233,                 0.3722,                0.77634,                 1.3295,                 1.4174,                0.90047,             0.00046189,             0.00046189,             0.00046189
                     11,                0.78048,                0.94559,                0.97742,                0.84841,                0.57174,                0.81917,                0.70697,                0.56739,                 0.5874,                0.82367,                0.70941,                0.41049,                0.77905,                 1.5671,                 1.2469,                 0.9012,             0.00050703,             0.00050703,             0.00050703
                     12,                0.84882,                 1.0442,                0.97533,                0.87197,                0.66421,                0.79451,                0.71099,                 0.5838,                0.66931,                0.79848,                0.71792,                 0.4587,                0.70769,                 1.3709,                 1.2887,                0.88617,             0.00055168,             0.00055168,             0.00055168
                     13,                0.81475,                0.92675,                 0.9865,                0.85946,                0.42955,                0.66822,                0.50904,                 0.4038,                0.42273,                0.66028,                0.49445,                0.30837,                0.71493,                 1.3681,                 2.1573,                0.86992,             0.00059583,             0.00059583,             0.00059583
                     14,                0.79633,                0.98191,                 1.2468,                0.86998,                0.33588,                0.61818,                0.46656,                0.36183,                0.32981,                0.61181,                0.45439,                0.29589,                0.74542,                 1.2097,                 2.2553,                0.87377,             0.00063949,             0.00063949,             0.00063949
                     15,                0.85484,                 0.9666,                0.99202,                0.84569,                0.49409,                0.78367,                0.45615,                 0.3574,                0.49855,                0.78764,                0.45881,                0.30177,                0.77768,                 1.2157,                 2.7681,                0.87957,             0.00068265,             0.00068265,             0.00068265
                     16,                0.84506,                 1.0462,                 1.0995,                 0.8783,                0.33133,                0.74534,                0.47424,                0.37157,                0.33362,                0.74931,                0.47068,                0.30318,                0.82701,                 1.2665,                 2.5853,                0.89537,             0.00072532,             0.00072532,             0.00072532
                     17,                0.89578,                0.83473,                 1.0791,                0.88799,                0.09041,                0.39543,                0.08534,                0.05971,                0.09147,                 0.3994,                0.08614,                0.05325,                0.93387,                 1.7066,                 21.751,                0.98285,             0.00076749,             0.00076749,             0.00076749
                     18,                0.91346,                0.94115,                 1.0086,                 0.8786,                0.24703,                0.68426,                0.29449,                   0.23,                0.24166,                0.70359,                0.29297,                0.18851,                0.79848,                 1.3762,                 13.488,                0.90472,             0.00080916,             0.00080916,             0.00080916
                     19,                0.84772,                 1.0049,                 1.0025,                0.86091,                0.30205,                0.72097,                0.38473,                0.30353,                0.31334,                0.75234,                0.39109,                0.26066,                0.79805,                 1.3963,                 9.3964,                0.91055,             0.00085034,             0.00085034,             0.00085034
